product_name,brand_id,product_link,current_price,original_price,percent_discount
Laptop Asus TUF Gaming A15 FA507NU-LP031W,2,https://cellphones.com.vn/laptop-asus-tuf-gaming-a15-fa507nu-lp031w.html,23.490.000₫,30.490.000₫,Giảm 23%
Laptop Asus Zenbook 14 Flip OLED UP3404VA-KN039W,2,https://cellphones.com.vn/laptop-asus-zenbook-14-flip-oled-up3404va-kn039w.html,28.990.000₫,33.990.000₫,Giảm 15%
Laptop Asus TUF Gaming F15 FX507ZV4-LP042W,2,https://cellphones.com.vn/laptop-asus-tuf-gaming-f15-fx507zv4-lp042w.html,28.490.000₫,37.490.000₫,Giảm 24%
Laptop Asus ROG Strix G16 G614JI-N4084W,2,https://cellphones.com.vn/laptop-asus-rog-strix-g16-g614ji-n4084w.html,43.990.000₫,60.990.000₫,Giảm 28%
Laptop Asus ExpertBook B1 B1400CBA-EB0641W,2,https://cellphones.com.vn/laptop-asus-expertbook-b1-b1400cba-eb0641w.html,14.990.000₫,16.990.000₫,Giảm 12%
Laptop ASUS ZenBook UM5302TA-LX087W,2,https://cellphones.com.vn/laptop-asus-zenbook-um5302ta-lx087w.html,21.990.000₫,26.100.000₫,Giảm 16%
Laptop Asus VivoBook 15X OLED S3504VA-L1227WS,2,https://cellphones.com.vn/laptop-asus-vivobook-15x-oled-s3504va-l1227ws.html,21.890.000₫,25.990.000₫,Giảm 16%
Laptop Asus TUF Gaming A15 FA507NV-LP046W,2,https://cellphones.com.vn/laptop-asus-tuf-gaming-a15-fa507nv-lp046w.html,26.990.000₫,35.990.000₫,Giảm 25%
Laptop Asus Vivobook 14 X1402ZA-EK084W,2,https://cellphones.com.vn/laptop-asus-vivobook-14-x1402za-ek084w.html,12.990.000₫,17.690.000₫,Giảm 27%
Laptop Asus TUF Gaming F15 FX507VV-LP157W,2,https://cellphones.com.vn/laptop-asus-tuf-gaming-f15-fx507vv-lp157w.html,29.990.000₫,37.490.000₫,Giảm 20%
Laptop Asus Rog Strix Scar 15 G533ZS-LN036W,2,https://cellphones.com.vn/laptop-asus-rog-strix-scar-15-g533zs-ln036w.html,58.990.000₫,77.200.000₫,Giảm 24%
